Wavelength (nm)	Reflectance
604	0.0989646
605	0.0997136
606	0.1005112
607	0.1013423
608	0.1022065
609	0.1031043
610	0.1040329
611	0.1049756
612	0.1059471
613	0.1069465
614	0.1079771
615	0.109047
616	0.1101596
617	0.1112973
618	0.1124594
619	0.1136448
620	0.1148513
621	0.1160647
622	0.1172987
623	0.1185526
624	0.1198382
625	0.1211427
626	0.1224465
627	0.1237784
628	0.1251286
629	0.1264942
630	0.127878
631	0.1292775
632	0.1306904
633	0.132117
634	0.1335565
635	0.1350075
636	0.1364888
637	0.1379815
638	0.1394836
639	0.1409946
640	0.1425082
641	0.1440092
642	0.1455172
643	0.1470245
644	0.1485331
645	0.1500468
646	0.1515875
647	0.1531396
648	0.1546952
649	0.1562539
650	0.1578186
651	0.1593661
652	0.1609153
653	0.1624726
654	0.1640386
655	0.1656049
656	0.1671714
657	0.1687483
658	0.1703243
659	0.1718991
660	0.1734644
661	0.1750399
662	0.1766129
663	0.1781831
664	0.1797527
665	0.1813187
666	0.1828617
667	0.1844032
668	0.1859438
669	0.1874796
670	0.1890106
671	0.1905368
672	0.1920575
673	0.1935726
674	0.1950827
675	0.1965904
676	0.1980916
677	0.1995862
678	0.2010802
679	0.2025731
680	0.2040588
681	0.2055548
682	0.2070479
683	0.2085342
684	0.2100124
685	0.2114824
686	0.2129293
687	0.2143679
688	0.2157979
689	0.2172188
690	0.2186291
691	0.2200305
692	0.2214228
693	0.2228056
694	0.2241788
695	0.2255426
696	0.2268968
697	0.2282395
698	0.2295706
699	0.2308919
700	0.2322032
701	0.2335079
702	0.2348053
703	0.2360925
704	0.2373695
705	0.2386366
706	0.2398936
707	0.2411403
708	0.2423766
709	0.243597
710	0.2448024
711	0.2459971
712	0.2471812
713	0.2483648
714	0.2495493
715	0.2507231
716	0.2518862
717	0.2530441
718	0.2542014
719	0.2553479
720	0.2564838
721	0.257614
722	0.2587265
723	0.259828
724	0.2609188
725	0.2619986
726	0.2630624
727	0.2641151
728	0.2651569
729	0.2661879
730	0.2672162
731	0.2682308
732	0.2692348
733	0.2702281
734	0.2712144
735	0.2721959
736	0.2731667
737	0.274127
738	0.2750763
739	0.2760001
740	0.2769134
741	0.2778161
742	0.2787084
743	0.2795878
744	0.2804551
745	0.2813121
746	0.2821587
747	0.2829943
748	0.2838153
749	0.2846259
750	0.2854262
751	0.2862163
752	0.2870068
753	0.2877939
754	0.2885709
755	0.2893379
756	0.2900951
757	0.2908528
758	0.2916006
759	0.2923385
760	0.2930666
761	0.2937828
762	0.2944929
763	0.2951934
764	0.2958844
765	0.2965659
766	0.2972428
767	0.2979126
768	0.298573
769	0.2992241
770	0.299866
771	0.3004853
772	0.3010942
773	0.3016938
774	0.3022843
775	0.3028639
776	0.3034226
777	0.3039723
778	0.3045129
779	0.3050446
780	0.3055706
781	0.3060977
782	0.3066159
783	0.3071254
784	0.3076262
785	0.3081175
786	0.3085984
787	0.3090706
788	0.3095344
789	0.3099896
790	0.3104387
791	0.3108842
792	0.3113214
793	0.3117503
794	0.312171
795	0.3125805
796	0.3129736
797	0.3133586
798	0.3137356
799	0.3141045
800	0.3144641
